0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:14 +0900] "GET /project1/image/GOW/GOW_Brok.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:14 +0900] "GET /project1/image/GOW/GOW_Atreus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:14 +0900] "GET /project1/image/GOW/GOW_Angrboda.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:14 +0900] "GET /project1/image/GOW/GOW_Thor.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:14 +0900] "GET /project1/image/GOW/GOW_Sindri.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:27 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:27 +0900] "GET /project1/styles/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:27 +0900] "GET /project1/styles/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:30 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:02:30 +0900] "GET /project1/styles/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:11 +0900] "GET /project1/UFC-4.jsp HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:11 +0900] "GET /project1/styles/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:11 +0900] "GET /project1/image/UFC/ea-ufc-4-logo-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:11 +0900] "GET /project1/styles/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:11 +0900] "GET /project1/image/UFC/Conor_McGregor.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:11 +0900] "GET /project1/styles/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:11 +0900] "GET /project1/styles/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:11 +0900] "GET /project1/image/UFC/ngannou.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:11 +0900] "GET /project1/image/UFC/Brock%20Edward%20Lesnar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:11 +0900] "GET /project1/image/UFC/jon_jones.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:11 +0900] "GET /project1/image/UFC/londa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:12 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:12 +0900] "GET /project1/image/BF2042/Battlefield_2042_logo.svg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:12 +0900] "GET /project1/image/GOW/GOW_Kratos.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:12 +0900] "GET /project1/image/GOW/GOW_Atreus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:12 +0900] "GET /project1/image/GOW/GOW_Angrboda.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:12 +0900] "GET /project1/image/GOW/GOW_Thor.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:12 +0900] "GET /project1/image/GOW/GOW_Mimir.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:12 +0900] "GET /project1/image/GOW/GOW_Freya.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:12 +0900] "GET /project1/image/GOW/GOW_Brok.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:12 +0900] "GET /project1/image/GOW/GOW_Sindri.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:21 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:21 +0900] "GET /project1/styles/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:22 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:22 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:22 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/styles/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/styles/header.css HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/styles/footer.css HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/styles/nav.css HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/styles/main.css HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:03:24 +0900] "GET /project1/image/BF2042/Battlefield_2042_logo.svg.png HTTP/1.1" 200 38205
